X_SMHI;Y_SMHI;Name;Year;Month;Day;Depth m;Temp_ øC;pH ;Cond_ mS/m25øC;Ca meq/l;Mg meq/l;Na meq/l;K meq/l;Alk_/Acid meq/l;SO4_IC meq/l;Cl meq/l;NO2+NO3-N ug/l;Tot-N_ps ug/l;Tot-P ug/l;Abs__F 420nm/5cm;TOC mg/l;Si mg/l
655707;155934;ACKSJÖN;2005;11;27;1;3.4;7.17;5.75;0.408;0.093;0.094;0.013;0.362;0.066;0.062;35;391;8;0.101;10.7;1.79
655780;155697;STORA KOLSLEVEN;2005;11;27;1;3.3;6.93;13.1;0.524;0.453;0.315;0.065;0.837;0.232;0.16;1;1131;83;0.144;15.1;2.52
655814;154506;KLEVHAMMAREN;2005;11;27;1;4.1;6.77;5.87;0.244;0.164;0.141;0.025;0.167;0.181;0.101;65;511;15;0.134;11.4;2.93
656081;155208;SKUNDERN;2005;11;27;1;2.2;7.37;10.7;0.523;0.3;0.212;0.05;0.708;0.101;0.183;89;1248;73;0.109;14.5;1.45
656263;156963;DJUPAHOLMSJÖN;2005;11;26;1;5.2;6.13;2.92;0.131;0.068;0.076;0.011;0.041;0.082;0.057;99;756;10;0.23;11.2;1.81
656293;153800;STORA FJÄLLSJÖN;2005;11;27;1;2.9;5.08;2.24;0.083;0.039;0.063;0.005;-0.023;0.036;0.05;39;367;25;0.571;18.1;4.03
656853;152800;NÄSHULTASJÖN;2005;11;27;1;2.1;6.97;9.98;0.469;0.249;0.239;0.044;0.462;0.217;0.228;50;468;21;0.097;10.2;1.4
639818;147405;KUSEGÖL;2005;11;16;1;6.2;6.46;4.04;0.167;0.095;0.131;0.013;0.147;0.071;0.083;17;664;10;0.224;10.6;2.41
640456;146756;SOLBERGASJÖN;2005;11;16;1;6.2;7.29;7.72;0.374;0.128;0.177;0.081;0.393;0.097;0.179;25;733;22;0.055;7;0.27
640956;148285;BOCKSJÖN;2005;11;17;1;5.1;6.98;5.46;0.257;0.116;0.152;0.015;0.204;0.118;0.114;83;373;11;0.184;10;1.62
641225;145772;VÄSTRA LÄGERN;2005;11;17;1;7.8;7.34;8.93;0.547;0.111;0.199;0.027;0.366;0.214;0.184;109;451;8;0.074;9;0.97
641331;146452;ÖSTRA LÄGERN;2005;11;17;1;7.7;7.37;8.57;0.499;0.114;0.202;0.027;0.35;0.195;0.185;27;373;10;0.05;8.1;1.25
641400;149966;JUTTERN;2005;11;17;1;6.2;7.07;10.9;0.48;0.163;0.39;0.036;0.447;0.214;0.265;195;625;27;0.125;9.2;1.52
641654;148576;MOGÖLEN;2005;11;17;1;5.8;5.23;3.52;0.183;0.062;0.103;0.011;-0.027;0.032;0.08;22;754;27;1.47;42.9;2.4
641779;146577;GUNNARSTORPAGÖLEN;2005;11;17;1;4.9;7.11;15;0.822;0.201;0.492;0.06;0.627;0.172;0.416;167;803;33;0.434;23.3;4.51
641788;147663;NARVEN;2005;11;17;1;7;7.15;8.16;0.425;0.13;0.221;0.019;0.316;0.183;0.202;31;334;8;0.057;8;0.63
641794;149281;ÄNGSJÖN;2005;11;17;1;6.4;6.72;6.91;0.348;0.132;0.171;0.023;0.247;0.169;0.141;32;431;12;0.158;12.2;1.11
642286;146871;VINNINGEN;2005;11;17;1;6.2;7.32;16.5;1.218;0.244;0.251;0.064;1.027;0.315;0.196;34;921;48;0.235;21.3;2.35
643374;147133;DAMMSTUGUGÖLEN;2005;11;18;1;6.2;6.67;5.4;0.228;0.098;0.169;0.013;0.161;0.147;0.145;5;671;11;0.069;7.1;0.6
643555;150688;GUDMUNDSGÖLEN;2005;11;17;1;5.6;6.58;6.06;0.398;0.102;0.128;0.013;0.305;0.078;0.088;11;536;11;0.269;17.6;2.08
643588;146957;MALGEN;2005;11;18;1;5.8;7.26;7.54;0.51;0.106;0.149;0.015;0.403;0.126;0.125;45;605;17;0.17;12.8;3.44
643804;152123;LJUSGÖL;2005;11;17;1;5.5;6.76;5.1;0.296;0.099;0.109;0.017;0.209;0.106;0.067;9;479;10;0.217;13.1;1.29
